rank,lambda,gamma,alpha,train_avg,train_std,val_avg,val_std,test_avg
71,0.500,0.15,3.00,6.861649,0.341637,8.662535,1.051989,7.798796
72,0.500,0.15,1.50,6.855850,0.338057,8.664475,1.002727,7.777074
73,5.000,0.10,0.60,6.335082,0.305107,8.667590,0.950862,7.546820
74,5.000,0.05,1.00,6.445212,0.306754,8.669677,0.951184,7.672791
75,0.500,0.30,0.60,6.742188,0.331552,8.669958,1.005400,7.341668
76,1.000,0.30,1.50,6.180393,0.331374,8.672661,1.028363,8.147102
77,0.300,0.20,1.00,7.077770,0.382176,8.673285,1.071115,7.799205
78,1.000,0.20,2.00,6.416360,0.337755,8.673554,0.957834,7.980003
79,5.000,0.05,2.00,6.431659,0.310067,8.680831,0.907230,7.715522
80,0.500,0.10,0.60,6.973403,0.349880,8.681527,1.084383,7.771616
81,5.000,0.05,0.60,6.470513,0.306579,8.682819,0.950234,7.551422
82,0.500,0.20,3.00,6.794356,0.342827,8.689282,0.986495,7.773561
83,0.500,0.20,0.60,6.848410,0.334607,8.689295,1.029200,7.456160
84,0.500,0.15,0.60,6.905456,0.333239,8.690079,1.065792,7.552162
85,5.000,0.10,2.00,6.264631,0.309880,8.692000,0.868711,7.751950
86,0.300,0.20,1.50,7.072009,0.391312,8.695325,1.013608,8.042558
87,5.000,0.20,0.30,6.234340,0.291181,8.696348,0.966913,7.667751
88,5.000,0.15,3.00,6.106276,0.322364,8.696357,0.959947,7.860034
89,0.500,0.30,0.30,6.873820,0.329211,8.696433,1.029904,7.653382
90,5.000,0.15,0.30,6.324992,0.296993,8.699397,0.958603,7.604946
91,5.000,0.10,0.30,6.420172,0.298360,8.699785,0.959256,7.588025
92,0.500,0.10,2.00,6.943582,0.356821,8.700246,1.038390,7.928242
93,5.000,0.05,0.30,6.514306,0.302778,8.701014,0.960223,7.571513
94,2.000,0.20,3.00,6.119809,0.326850,8.701950,0.928706,8.040732
95,0.500,0.05,1.00,7.023607,0.337699,8.703680,1.076547,7.768400
96,0.300,0.15,1.00,7.133086,0.379318,8.704403,1.068205,7.787827
97,0.300,0.15,1.50,7.131189,0.385926,8.704896,1.035295,7.912099
98,0.300,0.30,1.00,6.959009,0.372325,8.706960,1.072046,7.678028
99,2.000,0.20,2.00,6.106750,0.322041,8.707148,0.838758,8.010232
100,5.000,0.30,0.60,5.828804,0.301380,8.708029,0.953066,7.654999
101,0.500,0.05,3.00,7.022208,0.342707,8.708206,1.093095,7.756765
102,0.500,0.30,1.50,6.632165,0.339206,8.710244,1.002616,7.732443
103,5.000,0.30,0.30,6.068002,0.285748,8.716900,0.975508,7.792611
104,0.500,0.05,0.60,7.033992,0.336855,8.716985,1.100826,7.756390
105,0.500,0.15,0.30,6.964657,0.325148,8.718387,1.057568,7.695885
106,0.500,0.20,0.30,6.931186,0.323799,8.719692,1.031211,7.664683
107,0.500,0.05,1.50,7.022019,0.340692,8.720579,1.073999,7.756742
108,0.300,0.15,3.00,7.135133,0.390497,8.721781,1.054069,7.922070
109,0.500,0.15,2.00,6.854262,0.339518,8.722170,1.009770,7.777074
110,0.500,0.10,0.30,7.009117,0.344503,8.723344,1.084611,7.857293
111,0.300,0.10,1.00,7.182665,0.366845,8.725127,1.045692,7.818899
112,5.000,0.15,2.00,6.092771,0.315354,8.726331,0.865866,7.828852
113,0.300,0.05,1.00,7.236185,0.379895,8.727248,1.056652,7.758404
114,0.300,0.10,1.50,7.183569,0.370264,8.728995,1.017641,7.873379
115,0.500,0.05,2.00,7.020147,0.341788,8.732789,1.081987,7.756742
116,0.500,0.05,0.30,7.050402,0.342401,8.733529,1.103160,7.803854
117,0.300,0.10,3.00,7.185969,0.372823,8.734147,1.034245,7.883881
118,0.300,0.20,0.60,7.125484,0.384926,8.736666,1.064712,7.842415
119,0.300,0.20,3.00,7.079355,0.395561,8.740899,1.025362,8.062406
120,0.300,0.20,0.30,7.189560,0.397774,8.743120,1.075514,7.898817
121,0.500,0.20,2.00,6.784777,0.339923,8.744036,0.954213,7.751822
122,0.300,0.05,0.60,7.245917,0.372808,8.745587,1.058432,7.754423
123,0.300,0.05,1.50,7.234873,0.381026,8.747107,1.053110,7.754437
124,0.300,0.10,0.60,7.209249,0.369111,8.747421,1.073104,7.812070
125,5.000,0.30,1.00,5.687950,0.304162,8.748585,1.101024,8.137851
126,0.300,0.30,1.50,6.948656,0.382723,8.753075,1.031521,7.975338
127,0.300,0.10,0.30,7.240184,0.376053,8.754517,1.067035,7.838852
128,0.300,0.05,0.30,7.257576,0.377713,8.755031,1.058676,7.767487
129,0.300,0.05,3.00,7.234889,0.383238,8.758887,1.066888,7.753849
130,0.300,0.10,2.00,7.182470,0.372294,8.760206,1.016742,7.873379
131,0.300,0.30,0.60,7.038469,0.379977,8.761386,1.044854,7.802505
132,0.300,0.15,0.60,7.166670,0.379194,8.761797,1.076102,7.831223
133,0.300,0.30,0.30,7.131926,0.400185,8.763527,1.074454,7.888757
134,0.300,0.15,0.30,7.214222,0.384942,8.763985,1.087125,7.872436
135,0.300,0.15,2.00,7.129681,0.389821,8.764153,1.032839,7.912099
136,0.300,0.05,2.00,7.232894,0.382452,8.767476,1.055643,7.754437
137,0.300,0.20,2.00,7.070973,0.393801,8.777989,1.005407,8.042558
138,0.200,0.30,1.00,7.164562,0.369710,8.790391,1.087476,7.818107
139,5.000,0.20,2.00,5.926886,0.311655,8.795711,0.895908,8.023971
140,5.000,0.30,1.50,5.611137,0.306279,8.798155,1.094241,8.493483
141,0.200,0.30,1.50,7.150248,0.380113,8.809677,1.014108,8.130106
142,5.000,0.20,3.00,5.945431,0.320052,8.816926,0.979979,8.043882
143,0.200,0.20,1.50,7.246815,0.381880,8.831273,1.070275,7.820886
144,0.200,0.20,1.00,7.255842,0.374880,8.837498,1.122078,7.757060
145,0.500,0.30,3.00,6.638698,0.331842,8.838675,0.998430,7.600943
146,0.500,0.30,2.00,6.632950,0.334789,8.844889,1.000971,7.732443
147,0.200,0.15,1.50,7.303156,0.382760,8.849888,1.029243,7.812240
148,0.300,0.30,3.00,6.948680,0.375785,8.851404,0.989620,8.003172
149,0.200,0.15,1.00,7.307310,0.375372,8.853007,1.078558,7.748794
150,0.200,0.20,3.00,7.251832,0.384542,8.853169,1.073865,7.828063
151,1.000,0.30,2.00,6.188046,0.328901,8.859803,0.960284,8.147102
152,2.000,0.30,2.00,5.844691,0.333932,8.861810,0.971164,8.306024
153,0.300,0.30,2.00,6.947670,0.383471,8.864907,1.014690,7.975338
154,0.200,0.15,3.00,7.306451,0.384855,8.865529,1.046215,7.820531
155,0.200,0.30,0.60,7.212431,0.379806,8.877967,1.099276,7.821404
156,0.200,0.30,0.30,7.296030,0.394482,8.882655,1.118318,7.873250
157,0.200,0.30,3.00,7.145912,0.371848,8.888904,0.955886,8.146013
158,0.200,0.20,2.00,7.245213,0.384279,8.890674,1.057055,7.820886
159,0.200,0.30,2.00,7.148293,0.382239,8.895742,0.994536,8.130106
160,0.200,0.20,0.60,7.286469,0.374884,8.896771,1.109697,7.778279
161,0.200,0.15,2.00,7.302204,0.385541,8.898267,1.020005,7.812240
162,0.200,0.10,1.00,7.336415,0.384234,8.906662,1.078786,7.752174
